customer_id,age,gender,city,employment_type,years_employed,annual_income,monthly_income,existing_loan_balance,existing_emi_monthly,credit_score,cibil_score,payment_history_default,credit_inquiry_last_6m,num_open_accounts,num_delinquent_accounts,education_level,marital_status,dependents,home_ownership,property_type,property_value,requested_loan_amount,requested_loan_tenure,pre_approved_limit,monthly_income_after_emi,debt_to_income_ratio,loan_to_income_ratio,estimated_monthly_emi,emi_to_income_ratio,total_monthly_obligation,obligation_to_income_ratio,loan_to_asset_ratio,credit_age_months,approval_status,rejection_reason,approval_type,pan_number,aadhar_number
CUST0027,49,M,Chennai,Business Owner,10,3399320,203352,451015,34961,794,784,3,7,1,2,Graduate,Divorced,1,Rented,House,1768300,4314279,24,358517,168391,17.19,126.92,207957,102.26,242918,119.46,243.98,107,Rejected,Delinquent Accounts,,TGIQC5186N,937328643533
CUST0028,64,M,Mumbai,Salaried,23,655612,104459,1454908,8415,723,327,3,9,8,0,12th,Divorced,0,Mortgaged,Villa,2447763,4452099,24,1055154,96044,8.06,679.08,214600,205.44,223015,213.5,181.88,47,Rejected,Poor Payment History,,PWJGJ6851B,197648099047
CUST0029,50,F,Ahmedabad,Self-Employed,26,3900333,434995,156542,46318,666,338,1,0,13,1,Post-Graduate,Widowed,1,Mortgaged,Apartment,8154502,3662223,24,1457133,388677,10.65,93.9,176527,40.58,222845,51.23,44.91,293,Rejected,Low Credit Score,,VEYMV8232I,435227995273
CUST0030,38,M,Mumbai,Self-Employed,3,309435,220004,1221992,47280,733,572,4,9,7,1,Post-Graduate,Divorced,0,Rented,Apartment,4382149,1357949,12,2334236,172724,21.49,438.85,122182,55.54,169462,77.03,30.99,172,Rejected,Poor Payment History,,NOBQV5383G,346492715469
CUST0031,37,M,Bangalore,Business Owner,18,4941860,491152,305062,23833,865,530,2,8,7,2,Post-Graduate,Divorced,0,Rented,Villa,5373062,3071981,24,805475,467319,4.85,62.16,148076,30.15,171909,35,57.17,114,Rejected,Delinquent Accounts,,NCAGP4875W,390786205794
CUST0032,25,M,Mumbai,Self-Employed,25,2048014,442682,1887232,4158,718,385,0,5,3,1,Graduate,Widowed,1,Rented,Villa,7545209,3950241,12,2779156,438524,0.94,192.88,355425,80.29,359583,81.23,52.35,41,Rejected,Low Credit Score,,DGYOU2493Q,951573580497
CUST0033,59,M,Delhi,Salaried,24,4021309,455155,1612162,20309,683,773,1,2,10,1,12th,Single,2,Owned,Apartment,8939469,4059076,48,848013,434846,4.46,100.94,111736,24.55,132045,29.01,45.41,237,Rejected,Loan Amount Exceeds Limit,,LKTKB7165J,147350081844
CUST0034,29,M,Delhi,Business Owner,13,4573085,225968,1550284,6970,655,425,3,7,10,1,Diploma,Widowed,4,Owned,House,8178073,3834340,36,2888890,218998,3.08,83.85,131795,58.32,138765,61.41,46.89,234,Rejected,Poor Payment History,,UBGIG2251M,498631493053
CUST0035,43,F,Hyderabad,Salaried,28,2588627,453486,866651,6938,702,836,2,8,3,0,Diploma,Single,4,Mortgaged,Studio,5345710,3421765,12,1352078,446548,1.53,132.18,307875,67.89,314813,69.42,64.01,358,Rejected,Loan Amount Exceeds Limit,,VPAEX2476S,277149346108
CUST0036,31,F,Pune,Salaried,26,1064121,84163,1110205,21168,843,444,2,5,14,0,Post-Graduate,Married,0,Rented,House,4500737,488076,48,244539,62995,25.15,45.87,13436,15.96,34604,41.12,10.84,169,Rejected,Low Credit Score,,RKAWX4786H,497994203751
CUST0037,61,F,Kolkata,Self-Employed,7,1469748,76934,1376760,46540,854,824,0,6,2,1,Graduate,Single,0,Owned,Villa,9609609,4984797,12,524226,30394,60.49,339.16,448509,582.98,495049,643.47,51.87,78,Rejected,Loan Amount Exceeds Limit,,BCOJD3995J,705062885137
CUST0038,40,M,Chennai,Self-Employed,25,3802630,220967,1541310,20384,775,511,3,0,12,2,Graduate,Single,2,Rented,House,7758746,3209244,12,1518897,200583,9.22,84.4,288753,130.68,309137,139.9,41.36,141,Rejected,Delinquent Accounts,,GULJX9247G,951876831184
CUST0039,26,M,Ahmedabad,Self-Employed,4,2882115,450523,755195,18017,884,324,4,4,1,0,Graduate,Married,3,Mortgaged,Apartment,1943717,4916909,36,2209441,432506,4,170.6,169005,37.51,187022,41.51,252.96,358,Rejected,Poor Payment History,,UVUXX7029W,506250155102
CUST0040,47,M,Mumbai,Self-Employed,13,1407677,341242,290160,10344,692,879,2,4,7,2,Diploma,Single,1,Owned,Villa,4909352,2298611,60,800336,330898,3.03,163.29,53963,15.81,64307,18.84,46.82,75,Rejected,Delinquent Accounts,,RIZMR9064C,633175247237
CUST0041,36,F,Mumbai,Self-Employed,20,588790,479137,1596824,40034,889,693,0,9,7,1,Post-Graduate,Widowed,0,Owned,Studio,5611142,2060826,60,798956,439103,8.36,350.01,48380,10.1,88414,18.45,36.73,201,Rejected,Low Credit Score,,PNQSH0026E,146325145143
CUST0042,31,M,Bangalore,Business Owner,1,2944489,30486,1868599,8702,852,366,4,3,12,1,12th,Single,4,Owned,Apartment,8921928,2944664,12,2089251,21784,28.54,100.01,264947,869.08,273649,897.62,33,274,Rejected,Poor Payment History,,PBNRS1499O,406366297402
CUST0043,48,M,Pune,Salaried,8,1708836,164407,213920,384,764,532,3,5,2,0,Diploma,Married,2,Mortgaged,Apartment,9215633,2713275,24,186365,164023,0.23,158.78,130785,79.55,131169,79.78,29.44,54,Rejected,Poor Payment History,,YTPAJ8883Q,444456524910
CUST0044,24,F,Delhi,Salaried,14,1941249,374044,1938341,404,760,408,2,6,7,1,Post-Graduate,Widowed,1,Rented,Studio,7406571,1478369,48,2184298,373640,0.11,76.16,40696,10.88,41100,10.99,19.96,321,Rejected,Low Credit Score,,VHUVW2645E,51854457769
CUST0045,42,M,Chennai,Salaried,16,3993305,151020,1291380,40943,898,445,4,8,13,0,Post-Graduate,Married,2,Owned,Studio,9252967,2523970,24,854950,110077,27.11,63.21,121661,80.56,162604,107.67,27.28,135,Rejected,Poor Payment History,,WBJLS1861K,107826618407
CUST0046,50,F,Hyderabad,Salaried,14,4766271,127795,1425541,47926,800,410,4,0,8,1,12th,Married,1,Mortgaged,House,1808507,2190212,24,2049022,79869,37.5,45.95,105573,82.61,153499,120.11,121.11,10,Rejected,Poor Payment History,,RCLQQ9094N,654716962019
CUST0047,29,F,Delhi,Self-Employed,12,4685536,245184,1509433,29189,832,527,4,5,1,1,12th,Divorced,1,Rented,Villa,4566621,4271774,12,275211,215995,11.9,91.17,384355,156.76,413544,168.67,93.54,32,Rejected,Poor Payment History,,WGUED4226J,255277019697
CUST0048,30,F,Ahmedabad,Salaried,19,1652695,167202,1871403,12763,729,410,2,6,9,0,12th,Divorced,0,Mortgaged,Studio,9831795,2341984,12,163646,154439,7.63,141.71,210721,126.03,223484,133.66,23.82,165,Rejected,Low Credit Score,,BZBCF6209R,555227393322
CUST0049,57,M,Pune,Business Owner,23,2406692,374652,1553068,18384,744,769,2,2,7,0,Graduate,Married,2,Rented,Studio,600734,252999,12,365798,356268,4.91,10.51,22764,6.08,41148,10.98,42.11,154,Approved,,Instant,MVBCR7980A,170411673735
CUST0050,36,M,Ahmedabad,Business Owner,15,1889228,262027,653983,32606,852,333,1,7,3,0,12th,Married,2,Mortgaged,Villa,9046310,4642923,12,1630814,229421,12.44,245.76,417749,159.43,450355,171.87,51.32,269,Rejected,Low Credit Score,,AOWGK5855M,742102003892
CUST0051,39,M,Kolkata,Salaried,28,3843555,143324,1464492,9860,767,668,3,4,8,1,Post-Graduate,Married,4,Rented,Studio,3351274,161367,60,1953751,133464,6.88,4.2,3788,2.64,13648,9.52,4.82,235,Rejected,Poor Payment History,,DPKFI8047X,561870912156
CUST0052,58,M,Hyderabad,Salaried,2,2949103,347710,821052,38757,793,894,0,8,7,1,12th,Divorced,4,Owned,Studio,1725811,853315,12,1983376,308953,11.15,28.93,76777,22.08,115534,33.23,49.44,205,Approved,,Instant,LTAJK5384I,913134952399
CUST0053,62,M,Kolkata,Business Owner,2,1400567,222775,1807150,15106,657,853,4,4,11,2,Post-Graduate,Divorced,0,Rented,House,3581091,4700108,60,2926684,207669,6.78,335.59,110340,49.53,125446,56.31,131.25,55,Rejected,Delinquent Accounts,,XQRVN6290E,663290519559
CUST0054,26,M,Bangalore,Business Owner,23,2585903,314336,128148,23574,781,724,1,8,13,0,Diploma,Single,0,Mortgaged,Apartment,4329049,3105334,60,255683,290762,7.5,120.09,72901,23.19,96475,30.69,71.73,72,Rejected,Loan Amount Exceeds Limit,,BUWRE6385J,567345388378
CUST0055,24,M,Ahmedabad,Self-Employed,22,4132065,288206,1855567,23524,753,817,0,9,8,1,Graduate,Single,3,Mortgaged,Apartment,2368670,2954190,12,732259,264682,8.16,71.49,265805,92.23,289329,100.39,124.72,305,Rejected,Loan Amount Exceeds Limit,,JNBYG5668V,336699459452
CUST0056,28,F,Bangalore,Business Owner,19,349115,109076,1534837,3636,781,581,1,3,6,1,Diploma,Married,4,Rented,Apartment,7765406,1384382,36,636437,105440,3.33,396.54,47584,43.62,51220,46.96,17.83,63,Rejected,Low Credit Score,,SYRRB0178H,545617894423
CUST0057,64,M,Mumbai,Self-Employed,25,3637690,114780,1404116,10916,833,619,2,8,9,0,Diploma,Widowed,1,Owned,Apartment,5313673,3953321,48,1510822,103864,9.51,108.68,108825,94.81,119741,104.32,74.4,264,Rejected,Low Credit Score,,FUTQR0341Q,54905006161
CUST0058,26,F,Kolkata,Self-Employed,26,1021747,177617,1241290,4809,674,742,4,4,5,2,Post-Graduate,Widowed,2,Owned,Studio,5255469,2754837,24,1469909,172808,2.71,269.62,132789,74.76,137598,77.47,52.42,347,Rejected,Delinquent Accounts,,CUXIX5871F,11073500444
CUST0059,51,M,Pune,Self-Employed,29,3349851,46689,731899,32201,844,614,0,9,3,0,Diploma,Divorced,0,Rented,Villa,9821425,3584239,60,1911840,14488,68.97,107,84144,180.22,116345,249.19,36.49,331,Rejected,Low Credit Score,,DPVGH7564A,721732159501
CUST0060,40,M,Ahmedabad,Self-Employed,22,3123100,298318,283876,13456,745,676,0,8,3,2,Post-Graduate,Divorced,2,Rented,Villa,8051989,1142377,48,2087755,284862,4.51,36.58,31447,10.54,44903,15.05,14.19,135,Rejected,Delinquent Accounts,,CXDJH0572X,90021895643
CUST0061,48,M,Chennai,Self-Employed,26,3284626,375605,259747,48212,844,588,0,2,1,1,12th,Divorced,2,Mortgaged,House,4835702,4677033,36,2006039,327393,12.84,142.39,160760,42.8,208972,55.64,96.72,220,Rejected,Low Credit Score,,RKGBN3009G,671344517680
CUST0062,56,F,Hyderabad,Salaried,26,1704330,413318,615650,38765,804,736,0,3,12,2,12th,Married,3,Owned,House,8474411,3357181,24,666956,374553,9.38,196.98,161823,39.15,200588,48.53,39.62,177,Rejected,Delinquent Accounts,,TMIQL8652H,134767379382
CUST0063,32,F,Delhi,Business Owner,22,551492,390177,423570,34816,742,576,0,8,8,1,Post-Graduate,Widowed,4,Rented,Studio,3462732,1023780,24,1555465,355361,8.92,185.64,49348,12.65,84164,21.57,29.57,263,Rejected,Low Credit Score,,ZYTBU7263I,124940498486
CUST0064,58,F,Pune,Self-Employed,17,4335851,34348,275987,45106,809,881,1,9,2,0,12th,Single,0,Owned,Villa,2492825,2966451,60,1094170,-10758,131.32,68.42,69641,202.75,114747,334.07,119,107,Rejected,Loan Amount Exceeds Limit,,TQJDX2609A,966263752367
CUST0065,36,F,Pune,Business Owner,20,791072,441930,1027512,17100,827,802,4,5,3,0,Graduate,Married,2,Rented,Villa,4332978,2568152,12,2809644,424830,3.87,324.64,231071,52.29,248171,56.16,59.27,214,Rejected,Poor Payment History,,MNWFC5065Q,635834708195
CUST0066,53,M,Bangalore,Business Owner,10,1386880,63102,638353,21949,710,815,2,1,8,0,Diploma,Single,0,Rented,Apartment,6652941,4507871,36,311830,41153,34.78,325.04,154946,245.55,176895,280.33,67.76,296,Rejected,Loan Amount Exceeds Limit,,TAIYI6463F,598667592157
CUST0067,37,F,Kolkata,Self-Employed,6,4999303,99460,858158,4544,771,649,2,6,14,2,Graduate,Single,1,Owned,Studio,4615811,2042811,60,1345077,94916,4.57,40.86,47957,48.22,52501,52.79,44.26,359,Rejected,Delinquent Accounts,,HNLAA7579E,960295283845
CUST0068,30,M,Ahmedabad,Salaried,15,4825897,389778,17640,37744,700,745,2,1,8,1,Diploma,Married,3,Rented,Studio,9483212,398090,36,2362292,352034,9.68,8.25,13683,3.51,51427,13.19,4.2,291,Approved,,Instant,BOCNO7845C,979790946891
CUST0069,36,M,Ahmedabad,Self-Employed,22,2355723,114930,52528,45543,796,649,2,1,14,0,12th,Single,1,Rented,Apartment,3674108,417348,12,1892725,69387,39.63,17.72,37551,32.67,83094,72.3,11.36,121,Rejected,Low Credit Score,,VOZLR1060H,449773897804
CUST0070,45,F,Mumbai,Salaried,11,2548988,31801,1873421,42783,670,436,1,0,11,0,Graduate,Widowed,0,Mortgaged,Studio,3231638,1426283,12,2422312,-10982,134.53,55.95,128330,403.54,171113,538.07,44.13,269,Rejected,Low Credit Score,,JYMJH0909L,308345432709
CUST0071,62,F,Mumbai,Business Owner,28,4603244,128150,259214,26657,654,542,3,2,4,1,12th,Single,0,Rented,Studio,764500,192324,60,661672,101493,20.8,4.18,4515,3.52,31172,24.32,25.16,155,Rejected,Poor Payment History,,PVQJH3357D,912744666427
CUST0072,43,F,Hyderabad,Salaried,5,1614093,228339,1887646,36187,859,842,4,5,4,0,Diploma,Widowed,4,Rented,House,3476031,2420688,12,621998,192152,15.85,149.97,217802,95.39,253989,111.23,69.64,305,Rejected,Poor Payment History,,KOOSH0493E,322169227089
CUST0073,38,F,Bangalore,Salaried,1,3064673,204208,970240,47198,741,339,0,7,5,1,Post-Graduate,Widowed,2,Rented,Villa,9527890,1905808,48,2803369,157010,23.11,62.19,52462,25.69,99660,48.8,20,41,Rejected,Low Credit Score,,YWYYE8829T,241454864475
CUST0074,40,F,Pune,Salaried,8,3276242,179697,501108,7239,819,528,3,8,6,1,Post-Graduate,Widowed,2,Mortgaged,Studio,7012427,1420567,24,1907992,172458,4.03,43.36,68474,38.11,75713,42.13,20.26,338,Rejected,Poor Payment History,,SEZCE9049U,955039898730
CUST0075,46,F,Ahmedabad,Business Owner,21,4880081,238945,634421,14489,710,847,2,6,5,1,Graduate,Divorced,1,Owned,House,3403633,4320459,60,175388,224456,6.06,88.53,101428,42.45,115917,48.51,126.94,292,Rejected,Loan Amount Exceeds Limit,,KIZLM7893Z,225720444860
CUST0076,48,F,Chennai,Business Owner,28,2948790,256915,1417077,49401,671,522,3,3,14,1,12th,Single,3,Mortgaged,Villa,6211813,4636119,36,2752841,207514,19.23,157.22,159354,62.03,208755,81.25,74.63,308,Rejected,Poor Payment History,,CNFLK5956Y,321024573725
CUST0077,47,F,Bangalore,Salaried,12,4063024,228664,1772802,43125,798,305,4,5,7,1,12th,Married,2,Mortgaged,Apartment,2440369,4115470,48,2715879,185539,18.86,101.29,113289,49.54,156414,68.4,168.64,316,Rejected,Poor Payment History,,HRCNF0004G,920032270055
CUST0078,63,M,Hyderabad,Salaried,12,2946791,233124,1198735,49922,719,621,0,4,2,2,Graduate,Married,4,Owned,House,4448242,4754798,60,1875767,183202,21.41,161.36,111624,47.88,161546,69.3,106.89,213,Rejected,Delinquent Accounts,,UMWSW8835S,685729978437
CUST0079,51,F,Hyderabad,Self-Employed,5,3010108,462477,1221078,28538,650,767,0,7,7,0,Post-Graduate,Single,1,Mortgaged,House,8627125,3377419,12,2429753,433939,6.17,112.2,303885,65.71,332423,71.88,39.15,111,Rejected,High EMI Burden,,LRWAK7663L,273709346330
CUST0080,37,F,Bangalore,Salaried,7,3653597,26542,155576,32049,782,374,4,0,10,2,Diploma,Divorced,1,Owned,Villa,1717060,3722138,12,1182660,-5507,120.75,101.88,334901,1261.78,366950,1382.53,216.77,163,Rejected,Delinquent Accounts,,SCJBO8604U,774517079258
CUST0081,23,M,Hyderabad,Self-Employed,4,365953,308821,924618,37131,882,303,4,0,7,0,Graduate,Divorced,4,Mortgaged,Apartment,1531519,2640476,12,1400035,271690,12.02,721.53,237578,76.93,274709,88.95,172.41,126,Rejected,Poor Payment History,,SYLXU9609R,744501162461
CUST0082,47,F,Bangalore,Salaried,6,4289618,202804,865291,42944,661,417,2,5,1,2,Diploma,Widowed,3,Owned,House,9677960,4329011,12,1783505,159860,21.18,100.92,389505,192.06,432449,213.23,44.73,60,Rejected,Delinquent Accounts,,OFEKV3581M,828863185726
CUST0083,29,M,Delhi,Self-Employed,13,2897480,206415,886089,8427,739,803,0,9,7,1,Post-Graduate,Single,4,Rented,Studio,5178714,1037841,36,2302263,197988,4.08,35.82,35673,17.28,44100,21.36,20.04,17,Approved,,Instant,ODXHZ8514X,228327535025
CUST0084,31,M,Bangalore,Business Owner,20,4497571,64081,928479,41348,695,873,3,1,5,0,12th,Single,3,Mortgaged,Studio,8609698,1667053,48,1597618,22733,64.52,37.07,45890,71.61,87238,136.14,19.36,150,Rejected,Poor Payment History,,BQHFM2737O,62057754887
CUST0085,46,F,Kolkata,Salaried,15,3222097,218928,1059599,24285,683,740,1,4,3,0,Post-Graduate,Married,4,Mortgaged,Studio,1890281,2016545,24,2626819,194643,11.09,62.58,97202,44.4,121487,55.49,106.68,141,Approved,,Instant,YHXRW5555T,77733193375
CUST0086,23,M,Bangalore,Salaried,3,457164,380249,545735,37626,826,493,1,0,13,2,Graduate,Single,4,Mortgaged,Apartment,4441106,2943940,36,2360134,342623,9.9,643.96,101190,26.61,138816,36.51,66.29,8,Rejected,Delinquent Accounts,,JQNBF7235K,916655596527
CUST0087,30,M,Hyderabad,Salaried,23,2528636,244930,388043,42808,727,691,4,6,3,2,12th,Divorced,0,Mortgaged,House,2822466,4647603,36,2495337,202122,17.48,183.8,159748,65.22,202556,82.7,164.66,149,Rejected,Delinquent Accounts,,NBGRP2213A,465455323078
CUST0088,46,M,Ahmedabad,Salaried,8,831831,306209,1334679,22928,867,325,2,0,4,0,Graduate,Single,1,Rented,Studio,8278748,4032441,24,334386,283281,7.49,484.77,194372,63.48,217300,70.96,48.71,35,Rejected,Low Credit Score,,TQXVE2356J,360375469066
CUST0089,33,M,Kolkata,Self-Employed,20,3289475,239532,66203,19198,694,734,1,3,13,2,Graduate,Married,4,Mortgaged,Apartment,8599932,1307068,24,1345129,220334,8.01,39.73,63003,26.3,82201,34.32,15.2,242,Rejected,Delinquent Accounts,,DMBBL2287A,272479281260
CUST0090,39,F,Hyderabad,Salaried,16,3506420,113092,905588,19758,804,472,0,8,12,2,Post-Graduate,Widowed,4,Rented,Studio,2351317,4464406,12,2658944,93334,17.47,127.32,401687,355.19,421445,372.66,189.87,284,Rejected,Delinquent Accounts,,GOFOW4520B,964923058566
CUST0091,30,M,Mumbai,Business Owner,13,3665884,341837,160775,15254,722,599,4,0,2,2,Graduate,Married,2,Rented,Villa,2446830,494274,36,601174,326583,4.46,13.48,16989,4.97,32243,9.43,20.2,353,Rejected,Delinquent Accounts,,ZYABV1689Z,542808630221
CUST0092,57,F,Mumbai,Business Owner,18,3669720,314106,1057913,44238,675,625,3,3,2,1,Post-Graduate,Married,1,Rented,House,3114150,4511589,60,2981777,269868,14.08,122.94,105915,33.72,150153,47.8,144.87,120,Rejected,Poor Payment History,,FRDYV4906H,170112680884
CUST0093,57,M,Ahmedabad,Salaried,28,2940328,53295,570715,1252,898,709,4,5,1,1,12th,Widowed,2,Rented,House,7738987,1486980,24,2848996,52043,2.35,50.57,71676,134.49,72928,136.84,19.21,109,Rejected,Poor Payment History,,NXKJO6948F,459663911557
CUST0094,55,M,Ahmedabad,Business Owner,10,991095,38807,1563299,39764,696,417,3,5,5,2,Post-Graduate,Married,1,Owned,Apartment,5160061,1308052,24,295246,-957,102.47,131.98,63051,162.47,102815,264.94,25.35,123,Rejected,Delinquent Accounts,,UVJAH4781J,843656151662
